incident_id,title,service,severity,team,status,assigned_engineer,created_at,resolved_at,duration_minutes,sla_target_minutes,sla_status,affected_users,root_cause,resolution_summary
INC-1051,Email dispatch delay on order confirmation receipts,Notification & Email Worker,P3 - Medium,Payment & Billing,Resolved,Bob K.,2026-08-28 08:30:31,2026-08-28 10:13:31,103.0,480,Compliant,64,SendGrid API rate limiter throttling transactional batches.,Switched to multi-pool IP routing and flushed pending queue.
INC-1027,504 Gateway Timeout spike across REST endpoints,API Gateway,P1 - Critical,Data Engineering,Resolved,Evan L.,2026-08-28 08:17:46,2026-08-28 08:41:46,24.0,30,Compliant,4397,Upstream catalog microservice thread pool exhaustion.,Scaled Kubernetes replicas from 3 to 10 and enabled fallback caching.
INC-1090,Checkout cart session sync delay during flash sale,Checkout Pipeline,P2 - High,Payment & Billing,Resolved,Carlos R.,2026-08-28 08:08:52,2026-08-28 08:53:52,45.0,120,Compliant,4996,Distributed lock contention on inventory reservation table.,Optimized optimistic locking strategy and enabled Redis atomic counters.
INC-1038,Scheduled data warehouse sync job failure,Search & Elastic Cluster,P3 - Medium,Payment & Billing,Resolved,Evan L.,2026-08-28 01:24:22,2026-08-28 16:21:22,897.0,480,Breached,77,Upstream schema column rename in staging pipeline.,Updated dbt model schema mapping.
INC-1106,Scheduled data warehouse sync job failure,Redis Cache Cluster,P1 - Critical,Payment & Billing,Resolved,Farah H.,2026-08-27 09:10:51,2026-08-27 09:25:51,15.0,30,Compliant,4549,Upstream schema column rename in staging pipeline.,Updated dbt model schema mapping.
INC-1115,Elasticsearch cluster yellow status due to unassigned shards,Search & Elastic Cluster,P2 - High,Security & IAM,Resolved,George T.,2026-08-27 05:36:26,2026-08-27 05:58:26,22.0,120,Compliant,417,Disk threshold exceeded on node search-03 triggering shard reroute lock.,Expanded EBS volume capacity and rebalanced indices.
INC-1078,High replication lag on Postgres primary,Primary PostgreSQL DB,P2 - High,Data Engineering,Resolved,Bob K.,2026-08-26 15:53:59,2026-08-26 17:07:59,74.0,120,Compliant,1204,Long-running analytical unindexed query blocked write WAL threads.,Terminated blocking PID and adjusted connection pool settings.
INC-1101,Elasticsearch cluster yellow status due to unassigned shards,Search & Elastic Cluster,P1 - Critical,Security & IAM,Resolved,Evan L.,2026-08-26 01:19:26,2026-08-26 01:45:26,26.0,30,Compliant,4122,Disk threshold exceeded on node search-03 triggering shard reroute lock.,Expanded EBS volume capacity and rebalanced indices.
INC-1045,Checkout cart session sync delay during flash sale,Checkout Pipeline,P3 - Medium,Data Engineering,Resolved,Bob K.,2026-08-26 00:42:46,2026-08-26 05:20:46,278.0,480,Compliant,47,Distributed lock contention on inventory reservation table.,Optimized optimistic locking strategy and enabled Redis atomic counters.
INC-1111,504 Gateway Timeout spike across REST endpoints,API Gateway,P3 - Medium,Payment & Billing,Resolved,George T.,2026-08-25 22:05:08,2026-08-26 13:58:08,953.0,480,Breached,23,Upstream catalog microservice thread pool exhaustion.,Scaled Kubernetes replicas from 3 to 10 and enabled fallback caching.
INC-1092,High replication lag on Postgres primary,Primary PostgreSQL DB,P4 - Low,Payment & Billing,Resolved,George T.,2026-08-25 19:34:19,2026-08-26 10:55:19,921.0,1440,Compliant,93,Long-running analytical unindexed query blocked write WAL threads.,Terminated blocking PID and adjusted connection pool settings.
INC-1035,Stripe webhook 429 rate limit errors,Payment Gateway,P2 - High,Platform Infra,Resolved,Dana W.,2026-08-25 09:08:18,2026-08-25 09:54:18,46.0,120,Compliant,3978,Bulk recurring billing batch triggered webhook concurrency limit.,Enabled exponential backoff retry queue in SQS dead-letter worker.
INC-1037,Checkout cart session sync delay during flash sale,Checkout Pipeline,P2 - High,Platform Infra,Open,Alice M.,2026-08-24 23:15:31,,,120,Breached,200,Distributed lock contention on inventory reservation table.,Investigation ongoing.
INC-1077,Checkout cart session sync delay during flash sale,Checkout Pipeline,P4 - Low,Platform Infra,Resolved,Farah H.,2026-08-24 21:50:07,2026-08-25 10:38:07,768.0,1440,Compliant,66,Distributed lock contention on inventory reservation table.,Optimized optimistic locking strategy and enabled Redis atomic counters.
INC-1020,504 Gateway Timeout spike across REST endpoints,API Gateway,P1 - Critical,Security & IAM,Resolved,George T.,2026-08-24 11:31:21,2026-08-24 11:41:21,10.0,30,Compliant,1256,Upstream catalog microservice thread pool exhaustion.,Scaled Kubernetes replicas from 3 to 10 and enabled fallback caching.
INC-1080,Redis cluster memory usage exceeded 95%,Redis Cache Cluster,P3 - Medium,Security & IAM,Resolved,Dana W.,2026-08-24 08:59:55,2026-08-24 15:51:55,412.0,480,Compliant,76,Unbounded user session TTLs on marketing campaign referral links.,Enforced maxmemory allkeys-lru eviction policy and trimmed keys.
INC-1112,Minor styling asset 404 in admin dashboard,API Gateway,P2 - High,Platform Infra,Resolved,Carlos R.,2026-08-24 03:05:05,2026-08-24 04:41:05,96.0,120,Compliant,4872,CDN cache invalidation hash discrepancy on static frontend build.,Purged Cloudflare edge asset cache.
INC-1046,Minor styling asset 404 in admin dashboard,API Gateway,P3 - Medium,Data Engineering,Resolved,Dana W.,2026-08-23 20:42:18,2026-08-23 23:29:18,167.0,480,Compliant,37,CDN cache invalidation hash discrepancy on static frontend build.,Purged Cloudflare edge asset cache.
INC-1109,Minor styling asset 404 in admin dashboard,API Gateway,P4 - Low,Payment & Billing,Resolved,Carlos R.,2026-08-23 14:50:32,2026-08-23 23:08:32,498.0,1440,Compliant,143,CDN cache invalidation hash discrepancy on static frontend build.,Purged Cloudflare edge asset cache.
INC-1113,Scheduled data warehouse sync job failure,API Gateway,P3 - Medium,Data Engineering,Resolved,Farah H.,2026-08-23 12:45:09,2026-08-23 16:02:09,197.0,480,Compliant,0,Upstream schema column rename in staging pipeline.,Updated dbt model schema mapping.
INC-1003,Redis cluster memory usage exceeded 95%,Redis Cache Cluster,P4 - Low,Platform Infra,Resolved,George T.,2026-08-23 05:47:37,2026-08-23 15:36:37,589.0,1440,Compliant,13,Unbounded user session TTLs on marketing campaign referral links.,Enforced maxmemory allkeys-lru eviction policy and trimmed keys.
INC-1120,504 Gateway Timeout spike across REST endpoints,API Gateway,P3 - Medium,Security & IAM,In Progress,Bob K.,2026-08-23 01:11:56,,,480,Breached,13,Upstream catalog microservice thread pool exhaustion.,Investigation ongoing.
INC-1071,Stripe webhook 429 rate limit errors,Payment Gateway,P4 - Low,Data Engineering,Resolved,Farah H.,2026-08-22 16:41:12,2026-08-24 06:48:12,2287.0,1440,Breached,21,Bulk recurring billing batch triggered webhook concurrency limit.,Enabled exponential backoff retry queue in SQS dead-letter worker.
INC-1081,Okta SSO SAML assertion signature mismatch,Auth & SSO Service,P4 - Low,Security & IAM,Resolved,George T.,2026-08-22 12:28:44,2026-08-22 21:17:44,529.0,1440,Compliant,44,JWKS signing certificate auto-rotation failed during midnight cron.,Manually triggered JWKS cache refresh and reloaded cert authority.
INC-1093,Okta SSO SAML assertion signature mismatch,Auth & SSO Service,P3 - Medium,Platform Infra,Resolved,Carlos R.,2026-08-22 02:08:16,2026-08-22 05:20:16,192.0,480,Compliant,62,JWKS signing certificate auto-rotation failed during midnight cron.,Manually triggered JWKS cache refresh and reloaded cert authority.
INC-1068,Email dispatch delay on order confirmation receipts,Notification & Email Worker,P3 - Medium,Data Engineering,Resolved,Bob K.,2026-08-22 01:21:12,2026-08-22 05:11:12,230.0,480,Compliant,85,SendGrid API rate limiter throttling transactional batches.,Switched to multi-pool IP routing and flushed pending queue.
INC-1083,Stripe webhook 429 rate limit errors,Payment Gateway,P3 - Medium,Core Backend,Resolved,George T.,2026-08-21 17:20:25,2026-08-21 20:54:25,214.0,480,Compliant,99,Bulk recurring billing batch triggered webhook concurrency limit.,Enabled exponential backoff retry queue in SQS dead-letter worker.
INC-1072,High replication lag on Postgres primary,Primary PostgreSQL DB,P2 - High,Security & IAM,Resolved,Evan L.,2026-08-21 09:50:14,2026-08-21 11:12:14,82.0,120,Compliant,4713,Long-running analytical unindexed query blocked write WAL threads.,Terminated blocking PID and adjusted connection pool settings.
INC-1064,Stripe webhook 429 rate limit errors,Payment Gateway,P2 - High,Payment & Billing,Resolved,Carlos R.,2026-08-21 01:53:28,2026-08-21 04:49:28,176.0,120,Breached,1145,Bulk recurring billing batch triggered webhook concurrency limit.,Enabled exponential backoff retry queue in SQS dead-letter worker.
INC-1118,Redis cluster memory usage exceeded 95%,Redis Cache Cluster,P2 - High,Platform Infra,Resolved,Dana W.,2026-08-20 23:28:37,2026-08-21 01:03:37,95.0,120,Compliant,4032,Unbounded user session TTLs on marketing campaign referral links.,Enforced maxmemory allkeys-lru eviction policy and trimmed keys.
INC-1055,Elasticsearch cluster yellow status due to unassigned shards,Search & Elastic Cluster,P2 - High,Data Engineering,Resolved,Farah H.,2026-08-20 16:28:46,2026-08-20 18:11:46,103.0,120,Compliant,2883,Disk threshold exceeded on node search-03 triggering shard reroute lock.,Expanded EBS volume capacity and rebalanced indices.
INC-1016,Scheduled data warehouse sync job failure,Primary PostgreSQL DB,P3 - Medium,Data Engineering,Open,George T.,2026-08-20 11:41:43,,,480,Breached,97,Upstream schema column rename in staging pipeline.,Investigation ongoing.
INC-1023,Minor styling asset 404 in admin dashboard,API Gateway,P2 - High,Data Engineering,Open,Farah H.,2026-08-20 02:19:05,,,120,Breached,2900,CDN cache invalidation hash discrepancy on static frontend build.,Investigation ongoing.
INC-1005,Scheduled data warehouse sync job failure,Search & Elastic Cluster,P4 - Low,Data Engineering,Resolved,Bob K.,2026-08-19 13:46:54,2026-08-21 02:35:54,2209.0,1440,Breached,15,Upstream schema column rename in staging pipeline.,Updated dbt model schema mapping.
INC-1062,High replication lag on Postgres primary,Primary PostgreSQL DB,P1 - Critical,Core Backend,Resolved,Dana W.,2026-08-19 10:54:48,2026-08-19 11:08:48,14.0,30,Compliant,3732,Long-running analytical unindexed query blocked write WAL threads.,Terminated blocking PID and adjusted connection pool settings.
INC-1086,Email dispatch delay on order confirmation receipts,Notification & Email Worker,P3 - Medium,Security & IAM,Resolved,George T.,2026-08-19 03:57:39,2026-08-19 08:09:39,252.0,480,Compliant,81,SendGrid API rate limiter throttling transactional batches.,Switched to multi-pool IP routing and flushed pending queue.
INC-1026,Checkout cart session sync delay during flash sale,Checkout Pipeline,P2 - High,Security & IAM,Resolved,Bob K.,2026-08-18 18:54:08,2026-08-18 19:54:08,60.0,120,Compliant,4645,Distributed lock contention on inventory reservation table.,Optimized optimistic locking strategy and enabled Redis atomic counters.
INC-1057,Scheduled data warehouse sync job failure,Search & Elastic Cluster,P3 - Medium,Data Engineering,Resolved,Dana W.,2026-08-18 07:43:48,2026-08-18 11:56:48,253.0,480,Compliant,65,Upstream schema column rename in staging pipeline.,Updated dbt model schema mapping.
INC-1104,Okta SSO SAML assertion signature mismatch,Auth & SSO Service,P3 - Medium,Core Backend,Resolved,Alice M.,2026-08-18 05:46:52,2026-08-18 08:57:52,191.0,480,Compliant,26,JWKS signing certificate auto-rotation failed during midnight cron.,Manually triggered JWKS cache refresh and reloaded cert authority.
INC-1044,Email dispatch delay on order confirmation receipts,Notification & Email Worker,P3 - Medium,Core Backend,Resolved,Bob K.,2026-08-18 02:26:23,2026-08-18 17:14:23,888.0,480,Breached,26,SendGrid API rate limiter throttling transactional batches.,Switched to multi-pool IP routing and flushed pending queue.
INC-1047,Redis cluster memory usage exceeded 95%,Redis Cache Cluster,P3 - Medium,Data Engineering,Resolved,Dana W.,2026-08-17 10:51:46,2026-08-17 14:01:46,190.0,480,Compliant,81,Unbounded user session TTLs on marketing campaign referral links.,Enforced maxmemory allkeys-lru eviction policy and trimmed keys.
INC-1067,504 Gateway Timeout spike across REST endpoints,API Gateway,P3 - Medium,Platform Infra,Resolved,Evan L.,2026-08-17 07:47:33,2026-08-17 15:06:33,439.0,480,Compliant,17,Upstream catalog microservice thread pool exhaustion.,Scaled Kubernetes replicas from 3 to 10 and enabled fallback caching.
INC-1073,Checkout cart session sync delay during flash sale,Checkout Pipeline,P3 - Medium,Payment & Billing,Resolved,Alice M.,2026-08-17 04:58:39,2026-08-17 17:11:39,733.0,480,Breached,101,Distributed lock contention on inventory reservation table.,Optimized optimistic locking strategy and enabled Redis atomic counters.
INC-1056,Email dispatch delay on order confirmation receipts,Notification & Email Worker,P2 - High,Core Backend,Resolved,Alice M.,2026-08-16 22:51:52,2026-08-17 00:12:52,81.0,120,Compliant,4029,SendGrid API rate limiter throttling transactional batches.,Switched to multi-pool IP routing and flushed pending queue.
INC-1050,Email dispatch delay on order confirmation receipts,Notification & Email Worker,P3 - Medium,Data Engineering,Resolved,George T.,2026-08-16 16:50:31,2026-08-17 06:28:31,818.0,480,Breached,101,SendGrid API rate limiter throttling transactional batches.,Switched to multi-pool IP routing and flushed pending queue.
INC-1032,Checkout cart session sync delay during flash sale,Checkout Pipeline,P1 - Critical,Security & IAM,Resolved,Evan L.,2026-08-15 08:57:23,2026-08-15 09:23:23,26.0,30,Compliant,209,Distributed lock contention on inventory reservation table.,Optimized optimistic locking strategy and enabled Redis atomic counters.
INC-1094,Stripe webhook 429 rate limit errors,Payment Gateway,P2 - High,Data Engineering,Resolved,Carlos R.,2026-08-15 05:15:09,2026-08-15 06:17:09,62.0,120,Compliant,4034,Bulk recurring billing batch triggered webhook concurrency limit.,Enabled exponential backoff retry queue in SQS dead-letter worker.
INC-1028,Elasticsearch cluster yellow status due to unassigned shards,Search & Elastic Cluster,P2 - High,Payment & Billing,Resolved,George T.,2026-08-15 00:15:15,2026-08-15 01:34:15,79.0,120,Compliant,2777,Disk threshold exceeded on node search-03 triggering shard reroute lock.,Expanded EBS volume capacity and rebalanced indices.
INC-1082,Scheduled data warehouse sync job failure,Notification & Email Worker,P3 - Medium,Core Backend,Resolved,Dana W.,2026-08-14 21:28:14,2026-08-15 00:38:14,190.0,480,Compliant,28,Upstream schema column rename in staging pipeline.,Updated dbt model schema mapping.
INC-1084,Okta SSO SAML assertion signature mismatch,Auth & SSO Service,P3 - Medium,Platform Infra,In Progress,Bob K.,2026-08-14 01:17:28,,,480,Breached,66,JWKS signing certificate auto-rotation failed during midnight cron.,Investigation ongoing.
INC-1010,Stripe webhook 429 rate limit errors,Payment Gateway,P4 - Low,Core Backend,Resolved,Evan L.,2026-08-13 22:46:23,2026-08-16 05:18:23,3272.0,1440,Breached,89,Bulk recurring billing batch triggered webhook concurrency limit.,Enabled exponential backoff retry queue in SQS dead-letter worker.
INC-1100,Okta SSO SAML assertion signature mismatch,Auth & SSO Service,P4 - Low,Platform Infra,Resolved,George T.,2026-08-13 11:51:51,2026-08-13 23:38:51,707.0,1440,Compliant,142,JWKS signing certificate auto-rotation failed during midnight cron.,Manually triggered JWKS cache refresh and reloaded cert authority.
INC-1012,Elasticsearch cluster yellow status due to unassigned shards,Search & Elastic Cluster,P1 - Critical,Payment & Billing,Resolved,Bob K.,2026-08-12 22:41:32,2026-08-12 22:49:32,8.0,30,Compliant,4564,Disk threshold exceeded on node search-03 triggering shard reroute lock.,Expanded EBS volume capacity and rebalanced indices.
INC-1076,Email dispatch delay on order confirmation receipts,Notification & Email Worker,P4 - Low,Data Engineering,Open,Alice M.,2026-08-12 08:14:18,,,1440,Breached,60,SendGrid API rate limiter throttling transactional batches.,Investigation ongoing.
INC-1039,Checkout cart session sync delay during flash sale,Checkout Pipeline,P3 - Medium,Core Backend,Resolved,Carlos R.,2026-08-12 06:28:32,2026-08-12 08:26:32,118.0,480,Compliant,135,Distributed lock contention on inventory reservation table.,Optimized optimistic locking strategy and enabled Redis atomic counters.
INC-1110,Minor styling asset 404 in admin dashboard,API Gateway,P1 - Critical,Platform Infra,Resolved,Alice M.,2026-08-12 01:39:18,2026-08-12 03:00:18,81.0,30,Breached,2812,CDN cache invalidation hash discrepancy on static frontend build.,Purged Cloudflare edge asset cache.
